User-ID,ISBN,Book-Rating
277195,0060391626,10
277195,0060502258,0
277195,0060987561,0
277195,0316666343,0
277195,0316734837,0
277195,0330332775,10
277195,0345413881,0
277195,037582233X,0
277195,0385475721,0
277195,0385729332,0
277195,0399142789,0
277195,042511774X,0
277195,0440214424,0
277195,0440236673,0
277195,0446604801,0
277195,0446605484,0
277195,0446606189,0
277195,0446606383,0
277195,0446609323,0
277195,0449134482,0
277195,0449223345,0
277195,055326611X,10
277195,0553268880,0
277195,0553273604,0
277195,0553572997,0
277195,0670869902,10
277195,0671021001,10
277195,0671510053,0
277195,0679459618,0
277195,0679741666,0
277195,0679745203,0
277195,0679746048,0
277195,0684841347,0
277195,080410946X,0
277195,0811801802,0
277195,1558743669,0
277195,1573221856,10
277427,002542730X,10
277427,0060002050,0
277427,0060542128,7
277427,0060913509,0
277427,006092988X,0
277427,0060930535,0
277427,0060932139,0
277427,0060934417,0
277427,0061009059,9
277427,0061030430,0
277427,0062505319,0
277427,0064400859,0
277427,006440188X,0
277427,0140067477,0
277427,0140086838,0
277427,014029628X,0
277427,014100018X,0
277427,0142001740,0
277427,0152050167,10
277427,0310205719,0
277427,0312966091,0
277427,031298328X,0
277427,0316037451,0
277427,0316096199,0
277427,0316168688,0
277427,0316284955,0
277427,0316569321,0
277427,0316602051,0
277427,0316666343,0
277427,0316776963,8
277427,0316777730,0
277427,0345311396,0
277427,0345334019,0
277427,0345338545,0
277427,0345339681,0
277427,0345361792,0
277427,0345404769,0
277427,0345404777,0
277427,0345404785,0
277427,0345412214,0
277427,0345413903,10
277427,0345436911,0
277427,0373484232,0
277427,0374199698,0
277427,0375703764,0
277427,0375727132,0
277427,0375751513,9
277427,0380600129,0
277427,0380702843,8
277427,0380710218,0
277427,0380718332,0
277427,0380718758,0
277427,0380791978,9
277427,0385424736,9
277427,0385482388,0
277427,0385484518,0
277427,0385486804,9
277427,038548951X,0
277427,0385503857,9
277427,0385504209,8
277427,039304016X,8
277427,0394556968,0
277427,0399144463,0
277427,0399145990,0
277427,0399501487,9
277427,0425104273,0
277427,0425104338,9
277427,0425107469,0
277427,0425113884,0
277427,0425115801,0
277427,0425116840,8
277427,0425121631,0
277427,0425125467,0
277427,0425131769,0
277427,0425133516,9
277427,042514755X,0
277427,0425152898,0
277427,0425154092,0
277427,0425155943,0
277427,0425157466,0
277427,0425158616,0
277427,0425163865,0
277427,0425169871,0
277427,0425174271,0
277427,0425175405,0
277427,0425190749,7
277427,0439064872,0
277427,0439136369,0
277427,043936213X,0
277427,044011585X,0
277427,0440170796,0
277427,0440173922,0
277427,0440176484,0
277427,0440185327,5
277427,0440193613,0
277427,0440208459,0
277427,0440210690,0
277427,0440213320,0
277427,0440213991,0
277427,0440217466,0
277427,0440221501,0
277427,0440224764,7
277427,0440225450,0
277427,0440225701,0
277427,0440236061,8
277427,0440236703,0
277427,0440236738,9
277427,0440241073,0
277427,0440419468,0
277427,0440428130,8
277427,0441172717,0
277427,0441627404,10
277427,0446350982,9
277427,0446600415,10
277427,0446602620,0
277427,0446603716,0
277427,0446604801,0
277427,0446607193,0
277427,0446608009,0
277427,0446608890,10
277427,0446611212,0
277427,0446677507,0
277427,0449221482,0
277427,0449221504,0
277427,0451141083,0
277427,0451169522,0
277427,0451177096,0
277427,0451191153,8
277427,0451202503,0
277427,0451203593,10
277427,0452284449,6
277427,0515128015,0
277427,0515128600,0
277427,0515130923,0
277427,0515132020,0
277427,0515133302,0
277427,0552137030,8
277427,0552996181,0
277427,0553268880,0
277427,0553271636,0
277427,0553274295,0
277427,0553279556,0
277427,0553280341,0
277427,0553280368,9
277427,0553295780,0
277427,0553571656,10
277427,0553571818,0
277427,0553572997,0
277427,0553573926,10
277427,0553574566,9
277427,0553577808,0
277427,0553579525,0
277427,0553581929,9
277427,0553582755,0
277427,0553586122,0
277427,0553801430,0
277427,0609804138,0
277427,067091021X,0
277427,0671001795,0
277427,067101417X,0
277427,0671016776,0
277427,0671528904,8
277427,0671729470,0
277427,0671741209,0
277427,0671782525,0
277427,0679457313,0
277427,0679459626,0
277427,0679731148,9
277427,0679731377,0
277427,0679736042,5
277427,0679751521,0
277427,0684872153,0
277427,0740723367,9
277427,0743406176,8
277427,0743412028,9
277427,0743422910,0
277427,0743457943,8
277427,0749395990,0
277427,0767903382,10
277427,0786866845,10
277427,080410753X,0
277427,0804108749,0
277427,080411918X,0
277427,0811801802,0
277427,0811802981,10
277427,0811811409,10
277427,0836204387,0
277427,0836217691,10
277427,0836218221,0
277427,0836218515,10
277427,0836218787,0
277427,0836218817,10
277427,0836218833,0
277427,0836221192,10
277427,0836221311,8
277427,0842314296,0
277427,0843947888,7
277427,0877017883,0
277427,0890876517,10
277427,0894803204,0
277427,0894808249,0
277427,0971880107,0
277427,1400031354,0
277427,1400034779,0
277478,0061091995,0
277478,0061092045,0
277478,0061099252,0
277478,006447108X,0
277478,0146000552,0
277478,0312113420,7
277478,0312979533,7
277478,0345307674,0
277478,0345310799,0
277478,0345334531,0
277478,0345351525,0
277478,0345368959,0
277478,0345443284,0
277478,0345453409,0
277478,0373244487,0
277478,0380703882,0
277478,0425104273,0
277478,0425146413,0
277478,0425150984,0
277478,0425161242,0
277478,0425169863,0
277478,0425191184,0
277478,0440213320,7
277478,0440225701,0
277478,0440234743,0
277478,0446604089,0
277478,0446607657,0
277478,0449244741,0
277478,0449907481,0
277478,0552128481,0
277478,0553282352,0
277478,0553579606,0
277478,0553579754,0
277478,0553580191,0
277478,0671003755,0
277478,0671525832,0
277478,0671888587,0
277478,0786817879,0
277478,0786868716,0
277478,080410526X,0
277478,0971880107,0
277478,1558745718,8
277639,0312973055,0
277639,0316171638,0
277639,0345391055,0
277639,034539657X,8
277639,0373825013,0
277639,0380731851,6
277639,0380756269,0
277639,0380762595,0
277639,0425126064,0
277639,0425132625,0
277639,0425133540,0
277639,0425142485,7
277639,0425147363,8
277639,042516098X,5
277639,0425161242,0
277639,0440204194,0
277639,0440211727,8
277639,0440211891,0
277639,0440213525,0
277639,0440214041,9
277639,0440218535,0
277639,0440222656,0
277639,0440224780,0
277639,0440226414,0
277639,0446359866,0
277639,0446611212,0
277639,0446612790,0
277639,0449217264,0
277639,0449221873,0
277639,0451131517,0
277639,0451132378,0
277639,0451162145,8
277639,0451170385,0
277639,0451409159,0
277639,0515108030,0
277639,0515119652,0
277639,0553264079,0
277639,0553297260,8
277639,0553579754,7
277639,0553582755,0
277639,0553586122,0
277639,0590453653,0
277639,0590466194,0
277639,0590568809,0
277639,0671004565,0
277639,0671034022,0
277639,0812543262,8
277928,0060173289,0
